title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
西新宿戸建,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩6分
都営大江戸線/都庁前駅 歩12分
京王新線/初台駅 歩12分
","
築26年
地下1地上3階建
","
											1-3階",48万円,-,48万円,24万円,7LDK,130.47m2
西新宿戸建,東京都新宿区西新宿４,"
都営大江戸線/西新宿五丁目駅 歩6分
都営大江戸線/都庁前駅 歩12分
京王新線/初台駅 歩12分
","
築26年
地下1地上3階建
","
											-",48万円,-,48万円,24万円,7LDK,130.47m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											2階",19.7万円,12000円,19.7万円,-,1SLDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											2階",19.7万円,12000円,19.7万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											2階",19.7万円,12000円,19.7万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											2階",19.9万円,12000円,19.9万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											2階",19.7万円,15000円,19.7万円,-,1LDK,38.42m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											3階",20万円,12000円,20万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											3階",20万円,12000円,20万円,-,ワンルーム,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											4階",20万円,12000円,20万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											4階",20万円,12000円,20万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											3階",19.9万円,15000円,19.9万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											3階",19.9万円,15000円,19.9万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											2階",19.9万円,15000円,19.9万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											4階",20万円,15000円,20万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											4階",20万円,15000円,20万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											4階",20万円,15000円,20万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											3階",20.1万円,15000円,20.1万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											5階",20.5万円,12000円,20.5万円,-,1LDK,40.01m2
パークスフィア牛込神楽坂,東京都新宿区南山伏町,"
都営大江戸線/牛込柳町駅 歩4分
東京メトロ東西線/神楽坂駅 歩10分
都営新宿線/曙橋駅 歩15分
","
新築
地下1地上13階建
","
											4階",20.2万円,15000円,20.2万円,-,1LDK,40.01m2
