月間有効求人倍率（一般）,総人口に占める男性の割合,15歳未満人口割合,15～64歳人口割合,65歳以上人口割合,合計特殊出生率,転入者数（日本人移動者）,転出者数（日本人移動者）,結婚件数,離婚件数,着工建築物数,着工新設住宅戸数,着工新設持家数,着工新設貸家数,着工新設分譲住宅数,標準価格（平均価格）（住宅地）,標準価格（平均価格）（商業地）,幼稚園在園者数,幼稚園一園あたりの在園者数,幼稚園教員一人当たりの在園者数,小学校一校あたりの児童数,小学校教員一人当たりの児童数,中学校一校あたりの生徒数,中学校教員一人当たりの生徒数,中学校卒業者のうち進学者数の割合,高等学校一校あたりの生徒数,高等学校教員一人当たりの生徒数,高等学校卒業者のうち進学者数の割合,大学一校あたりの学生数,大学教員一人当たりの学生数,大学卒業者のうち進学者数の割合,一般旅券発行件数,着工新設住宅戸数,医療施設数,保育所等一施設あたりの在所児数,保育所等保育士一人当たりの在所児数,保育所等在所児数,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,光熱・水道費（二人以上の世帯）,家具・家事用品費（二人以上の世帯）,被服及び履物費（二人以上の世帯）,保健医療費（二人以上の世帯）,交通・通信費（二人以上の世帯）,教育費（二人以上の世帯）,教養娯楽費（二人以上の世帯）,その他の消費支出（二人以上の世帯）,米FRB金利,日銀金利,NYダウ平均株価,日経平均株価,ドル円為替レート,県内総生産（名目）
1.223089607,0.470857143,0.107619048,0.573714286,0.318666667,1.24,0.01,0.01,0.004460381,0.001872952,0.00408819,0.00618781,0.002251619,0.00297619,0.000896571,19200,83700,0.008656952,112.4975248,9.248880749,233.4878286,12.5250457,209.3697479,10.66658104,0.95910481,444.4476534,11.90983844,0.476961177,2124.648649,11.7629807,0.127409891,0.022783429,0.00618781,0.000739238,74.89901961,7.766290536,0.01455181,294682,72912,20862,26332,9895,10466,16466,42277,8848,29335,57289,2.35,-0.071,28538.44,23656.62,108.23,3.720402785
1.184696336,0.47086644,0.109156262,0.577374196,0.313280363,1.27,0.01,0.01,0.004335225,0.001886303,0.004055429,0.006765229,0.002220961,0.003695611,0.000769391,19000,78200,0.009191449,115.1327014,9.726926927,233.0248804,12.74392924,212.7068677,10.87860876,0.964338478,447.0142857,11.9842972,0.461651294,2055.842105,11.64783062,0.12548274,0.021148884,0.006765229,0.000733636,76.70089731,7.526758634,0.014553727,281054,69044,19089,27012,8845,11517,11437,39308,10825,26991,56984,1.95,-0.07,23327.46,20014.77,111.41,3.717905032
1.109066646,0.471052632,0.110526316,0.582518797,0.306766917,1.29,0.01,0.01,0.004503759,0.001907331,0.004028195,0.006966541,0.002155263,0.003957143,0.000777068,18800,68800,0.009620677,116.8538813,10.38385068,231.3892554,12.86843485,214.4860884,11.00621483,0.968421758,448.0530035,12.09452499,0.454489831,2048.447368,11.54054855,0.130244808,0.020143985,0.006966541,0.000728759,74.80183861,7.046184932,0.013765226,286698,69640,24217,25633,10550,11222,12242,39559,9837,26797,57003,1.25,-0.054,24719.22,22764.94,112.5,3.659565038
1.01513893,0.471038864,0.112107623,0.588565022,0.299327354,1.29,0.01,0.01,0.004603139,0.001957399,0.0039787,0.007009529,0.002113602,0.004075112,0.000750747,18300,62800,0.010157138,118.4335512,10.89180525,231.027933,13.01395154,215.9614148,11.04761905,0.972129565,454.2464789,12.17267409,0.444802749,2096.108108,11.53077609,0.126351901,0.018462444,0.007009529,0.000723655,77.22356828,6.873064105,0.013101457,287325,69445,17071,24438,9533,11106,12431,43681,10751,29305,59564,0.5,-0.043,19762.6,19114.37,103.97,3.575186659
0.919255791,0.471426026,0.113029762,0.592895263,0.289569735,1.31,0.01,0.01,0.004731747,0.002083158,0.003766073,0.0063788,0.002026113,0.003630615,0.000670416,18000,58900,0.010795779,118.5714286,11.31891681,228.283906,13.11049953,214.6240126,11.06057152,0.973224116,460.4265734,12.31708914,0.433303763,2101.621622,11.58004468,0.128112829,0.015950252,0.0063788,0.000718542,76.37756203,6.55270708,0.013155985,272124,65912,22201,26068,9253,11984,12381,35895,9302,26930,52197,0.25,0.074,17425.03,19033.71,123.31,3.554339095
0.823098108,0.471534196,0.114787431,0.602772643,0.28077634,1.27,0.01,0.01,0.004809242,0.002033826,0.003685028,0.005956562,0.001960074,0.003291867,0.000662847,18100,57700,0.011967283,119.4520295,11.62143242,227.6850044,13.27132144,213.7691108,11.12404611,0.976114719,464.1931034,12.33990283,0.423439759,2105.864865,11.66247568,0.126558346,0.016299261,0.005956562,0.000716451,80.342723,6.408763224,0.012652865,285154,65450,22611,27824,9061,12007,11702,36067,9160,27168,64105,0.25,0.066,17823.07,17450.77,101.73,3.434337523
0.737965793,0.471680765,0.115851416,0.612725267,0.270136079,1.28,0.01,0.01,0.004841854,0.002075211,0.004222692,0.006430121,0.002446488,0.003218463,0.000717175,18100,57200,0.011980508,119.1042048,11.82181092,226.4904679,13.38300051,213.1273006,11.21360555,0.976170445,465.2705479,12.31722575,0.411994575,2189.027778,11.97462392,0.121457723,0.017313718,0.006430121,0.000717359,80.63164251,6.377818112,0.012277124,279190,63975,26159,26210,9283,10375,11833,38039,8205,26697,58414,0.25,0.073,16576.66,16291.31,99.66,3.354563994
0.5642174,0.472095151,0.117108875,0.621774931,0.260201281,1.26,0.01,0.01,0.004855993,0.002121317,0.004019396,0.006500091,0.002205855,0.003458554,0.000802745,18400,58400,0.012026532,117.7867384,12.1308601,225.3596939,13.51951232,213.7703927,11.4070611,0.977066611,468.5084175,12.47731349,0.398651156,2264.057143,12.19482918,0.125029077,0.020532845,0.006500091,0.000711802,80.38130381,6.449861824,0.011957914,281574,63444,16668,26077,8369,11414,13248,40937,10137,29009,62271,0.25,0.084,13104.14,10395.18,78.96,3.279689296
0.446732861,0.472485423,0.118440233,0.629555394,0.251822157,1.25,0.01,0.01,0.004831997,0.00215871,0.003850219,0.005753098,0.00214559,0.00289559,0.000683309,18900,60000,0.011882835,117.0789946,12.21217228,223.7686567,13.67720845,215.2146051,11.52138184,0.975657693,469.0366667,12.46664304,0.401730366,2284.857143,12.25406068,0.132248572,0.019574526,0.005753098,0.00070809,79.85217391,6.479286362,0.01171301,270689,62996,15211,24787,8258,11604,10997,32204,10590,27054,66989,0.25,0.073,12217.56,8455.35,79.44,3.292910532
0.366726635,0.472783673,0.119371955,0.632383587,0.246633611,1.26,0.01,0.01,0.005155619,0.002287512,0.003724199,0.005434022,0.002095736,0.002626934,0.000653601,19600,63200,0.011784428,116.4991023,12.27350104,220.0512821,13.81130557,215.0797637,11.58846001,0.978398801,466.7378641,12.57274867,0.404102696,2248.5,12.48588616,0.134558489,0.020012462,0.005434022,0.000708628,78.97225725,6.619279146,0.01137309,300961,64746,23750,23611,10335,12895,11584,44827,13100,32980,63133,0.25,0.094,11577.51,10228.92,87.67,3.291190699
